id,chapter,question,option_a,option_b,option_c,option_d,correct_option,explanation
Q14-1,Chapitre 14,"Il y a un an, le rendement de l'obligation à un an était de 4 %, tandis que le rendement de l'obligation à trente ans était de 8 %. Aujourd'hui, le rendement du billet à un an est passé à 5 %, tandis que celui de l'obligation à dix ans est tombé à 6,5 %. Vous concluriez...","que la courbe des taux s'incline, ce qui est favorable aux marchés des actions.","que la courbe des rendements est inversée, ce qui est défavorable aux marchés des actions.",le marché obligataire est confus et l'économie devrait se contracter fortement à court terme.,le marché obligataire est confus mais l'économie devrait connaître une hypercroissance à long terme.,A,
Q14-2,Chapitre 14,Les trois grandes catégories d'industries sont...,"croissance, maturité et déclin.","cycliques, défensives et spéculatives.","faible technologie, valeur sûre et haute technologie.","les entreprises de premier ordre, les entreprises de premier ordre et les entreprises spéculatives.",B,
Q14-3,Chapitre 14,Une entreprise automobile comme General Motors est un exemple d'entreprise (n)....,d'une entreprise défensive.,entreprise industrielle cyclique.,entreprise cyclique de consommation.,une entreprise cyclique de produits de base.,C,
Q14-4,Chapitre 14,Lequel des énoncés suivants illustre le mieux la principale différence entre l'analyse fondamentale et l'analyse technique ?,"L'analyste fondamental étudie les causes des mouvements de prix, tandis que l'analyste technique étudie les effets des mouvements de prix.","L'analyste fondamental étudie les effets des mouvements de prix, tandis que l'analyste technique étudie les causes des mouvements de prix.","L'analyste fondamental pense que les marchés sont guidés uniquement par la pensée rationnelle, tandis que l'analyste technique pense que les marchés sont guidés uniquement par l'émotion.","L'analyste fondamental pense que les marchés sont guidés uniquement par la pensée rationnelle, tandis que l'analyste technique pense que les marchés sont guidés à la fois par la pensée rationnelle et par l'émotion.",A,
Q14-5,Chapitre 14,Les niveaux de soutien sont établis lorsque...,la demande dépasse l'offre et les prix commencent à baisser.,la demande dépasse l'offre et les prix commencent à augmenter.,l'offre dépasse la demande et les prix commencent à baisser.,l'offre dépasse la demande et les prix commencent à augmenter.,B,
Q14-6,Chapitre 14,"Vous disposez des informations suivantes concernant les clôtures hebdomadaires d'un titre particulier : Première semaine : 20,00 Deuxième semaine : 21,25 Troisième semaine : 19,50 Quatrième semaine : 20,50 À la fin de la cinquième semaine, le titre en question clôture à 20,75 $. Sa moyenne mobile sur quatre semaines est de...",$20.31.,$20.35.,$20.40.,$20.50.,D,
Q14-7,Chapitre 14,Vous étudiez un graphique et constatez que la ligne de la moyenne mobile est en train de casser la ligne de prix journalière par le haut sur un volume important. Un analyste technique devrait probablement...,acheter le titre,vendre le titre,conserver le titre.,Les analystes techniques n'étudient pas les graphiques avant de prendre des décisions d'investissement.,B,
Q14-8,Chapitre 14,L'investisseur à contre-courant est le moins susceptible de croire que...,qu'un investisseur doit aller dans la même direction que la majorité.,qu'un investisseur doit prêter attention à ce que fait la majorité des investisseurs.,"si la grande majorité des investisseurs sont baissiers, il est raisonnable de penser que le marché ne s'effondrera pas.","si la grande majorité des investisseurs est haussière, le pouvoir d'achat n'est pas suffisant pour pousser le marché à la hausse.",A,
Q14-9,Chapitre 14,Une analyste étudie une entreprise et constate que son chiffre d'affaires a augmenté de 12 % au cours de l'année écoulée. Laquelle des explications suivantes serait la moins favorable ?,Une grève a eu lieu chez un concurrent important.,L'entreprise s'est développée sur un nouveau marché géographique.,L'entreprise s'est engagée dans une campagne de publicité et de promotion agressive.,L'entreprise a gagné des parts de marché au détriment de ses concurrents.,A,
Q14-10,Chapitre 14,La principale différence entre le ratio de fonds de roulement et le ratio de test acide est que...,le ratio de fonds de roulement est un ratio de liquidité et le ratio de test acide est un ratio d'analyse de risque.,le ratio de fonds de roulement est un ratio d'analyse de risque et le ratio de test acide est un ratio de liquidité.,"le ratio de fonds de roulement prend en compte tous les actifs à court terme par rapport aux passifs à court terme, tandis que le ratio de test d'acidité exclut les stocks.",Il n'y a pas de différence entre le ratio de fonds de roulement et le ratio des tests d'acidité.,C,
Q14-11,Chapitre 14,"Parmi les entreprises suivantes, laquelle serait ""autorisée"" à avoir le ratio de couverture des intérêts le plus faible ?",Le commerce de détail,les services publics,cyclique,spéculative,B,
Q14-12,Chapitre 14,Une société a gagné 6 250 000 $ avant le versement des dividendes privilégiés. Elle possède 50 000 actions privilégiées à 6 % d'une valeur nominale de 50 $ qui se négocient actuellement à 52 $. 5 000 000 d'actions ordinaires sont autorisées et 4 500 000 sont émises et en circulation. Son bénéfice de base par action est de...,$1.22.,$1.25.,$1.36.,$1.39.,,
Q14-13,Chapitre 14,Vous examinez deux entreprises qui opèrent dans le même secteur d'activité. L'entreprise 1 a un ratio C/B de 10 et l'entreprise 2 a un ratio C/B de 20. L'explication la plus probable de cette différence est que...,La structure du capital de l'entreprise 1 est plus endettée.,La structure du capital de l'entreprise 2 est plus endettée.,Le taux de croissance prévu des bénéfices de la première société est plus élevé.,Les actions de la société 2 sont plus liquides que celles de la société 1.,A,
Q14-14,Chapitre 14,Les ratios cours/bénéfice ont tendance à augmenter...,lorsque le marché boursier est en hausse ou que les bénéfices augmentent.,dans un marché boursier en baisse ou avec des bénéfices en hausse.,dans un marché boursier en hausse ou avec des bénéfices en baisse.,dans un marché boursier en baisse ou avec des bénéfices en baisse.,A,
Q14-15,Chapitre 14,"Une entreprise vient de verser un dividende annuel de 2,40 $. Vous pensez qu'elle pourra augmenter ses dividendes à un taux de 5 %, et votre rendement requis est de 9 %. Si les actions se négocient actuellement à 60 $ et que vous croyez au modèle d'actualisation des dividendes, vous conviendrez que...",les actions de la société sont légèrement sous-évaluées.,les actions de la société sont correctement évaluées.,les actions de la société sont légèrement surévaluées.,l'information est insuffisante.,A,
Q14-16,Chapitre 14,"Lors de la sélection d'actions privilégiées, laquelle des questions suivantes est la moins susceptible de s'appliquer à toutes les actions privilégiées ?",Les dividendes sont-ils cumulatifs ?,Existe-t-il des mesures de protection telles que des fonds d'amortissement ?,La durée de vie du privilège de conversion est-elle suffisamment longue ?,Le rendement est-il acceptable par rapport aux rendements d'autres investissements similaires ?,C,
Q14-17,Chapitre 14,Lequel des énoncés suivants explique le moins bien pourquoi la marge bénéficiaire nette de Raptern augmente alors que sa marge bénéficiaire d'exploitation reste stable ?,Les taux d'imposition des sociétés ont été réduits au cours de cette période.,Raptern a remboursé ses dettes au cours de ces deux années.,Raptern a refinancé sa dette pour payer un taux d'intérêt plus faible.,Raptern bénéficie d'économies d'échelle dans ses installations de production.,D,
Q14-18,Chapitre 14,Lequel des énoncés suivants explique le plus raisonnablement pourquoi la marge bénéficiaire d'exploitation de Nickerback a augmenté au cours de cette période ?,L'entreprise a réduit ses prix.,L'entreprise a augmenté sa part de marché.,L'entreprise a réduit ses dépenses de marketing.,L'entreprise a bénéficié de taux d'imposition plus faibles.,C,
Q14-19,Chapitre 14,Quelle est l'explication la plus plausible du fait que le rendement des capitaux propres de Raptern a augmenté beaucoup plus rapidement que son bénéfice par action au cours de cette période ?,L'entreprise est devenue beaucoup plus rentable.,L'entreprise a racheté des actions de manière agressive.,L'entreprise a supprimé son dividende afin de conserver ses liquidités.,L'entreprise a émis de nouveaux titres de créance pour financer sa croissance.,B,
Q14-20,Chapitre 14,"En supposant que les deux entreprises opèrent sur des marchés similaires, laquelle des hypothèses suivantes est la moins probable ?",Raptern a plus de dettes dans sa structure de capital.,Les actions ordinaires de Nickerback coûtent moins cher que celles de Raptern.,Les ventes de Raptern sont inférieures à celles de Nickerback.,Nickerback est en affaires depuis plus longtemps que Raptern.,A,
Q14-21,Chapitre 14,"En ce qui concerne l'utilisation des ratios dans l'analyse des entreprises, vous seriez le plus susceptible d'être d'accord pour dire que...",Un seul ratio est très révélateur pour l'investisseur.,Les ratios ne constituent pas à eux seuls une preuve de la rentabilité actuelle ou future.,La signification d'un ratio est la même pour toutes les entreprises.,Un ratio insatisfaisant signale des conditions défavorables et il n'est pas nécessaire d'approfondir la question.,B,
Q15-1,Chapitre 15,"Une obligation à 7% de rémunération annuelle, émise au pair, a été achetée pour 102. Un an plus tard, elle a été remboursée au prix de 101. Quel est le taux de rendement dont a bénéficié l'investisseur ?",4.9%,5.9%,6.0%,7.0%,B,
Q15-2,Chapitre 15,"Laquelle des affirmations suivantes est vraie en ce qui concerne la relation entre l'inflation, les taux de rendement réels et les taux de rendement nominaux ?","Plus le taux d'inflation est élevé, plus le taux de rendement réel exigé par un investisseur est élevé.","Plus le taux d'inflation est élevé, plus le taux de rendement nominal exigé par l'investisseur est élevé.","Plus le taux d'inflation est élevé, plus le taux de rendement réel et le taux de rendement nominal exigés par l'investisseur sont élevés.",L'inflation n'a pas d'impact sur les taux de rendement réels ou nominaux exigés par un investisseur.,B,
Q15-3,Chapitre 15,Le taux de rendement sans risque est représenté par...,les bons du Trésor.,les obligations d'État à court terme.,les obligations d'État à long terme.,Le taux de rendement sans risque n'existe pas.,A,
Q15-4,Chapitre 15,"Parmi les titres suivants, quel est celui qui présente un risque commercial ?",Les actions ordinaires,les actions ordinaires et les titres de créance garantis,les actions ordinaires et les titres de créance non garantis de la société,"les actions ordinaires, la dette garantie de la société et la dette non garantie de la société",D,
Q15-5,Chapitre 15,Deux des mesures de risque les plus courantes sont :,Alpha et bêta,Bêta et corrélation,Bêta et écart-type,Corrélation et écart-type,C,
Q15-6,Chapitre 15,"Un investisseur possède un portefeuille de 250 000 dollars. 70 % sont investis dans le titre 1, qui rapporte 10 % sur l'année, et les 30 % restants dans le titre 2, qui rapporte 5 %. Les 30 % restants sont investis dans le titre 2, qui rapporte 5 %. La valeur du portefeuille dans un an est de...","$268,750","$271,250","$272,500",Information insuffisante,B,
Q15-7,Chapitre 15,"Un investisseur souhaite ajouter un titre à un portefeuille existant. Le rendement attendu du portefeuille actuel est de 8 % et son écart-type est de 15. Le rendement attendu du titre est de 8,5 % et son écart-type est de 15. Il existe une corrélation de 0,0 entre ce titre et le portefeuille existant. Lequel des énoncés suivants décrit le mieux l'impact de l'ajout du titre au portefeuille ?",L'ajout du titre augmentera le rendement attendu et réduira le risque.,L'ajout du titre augmentera le rendement attendu et n'aura pas d'incidence sur le risque.,L'ajout du titre augmentera le rendement attendu et le risque.,L'ajout du titre augmentera le rendement attendu et l'impact sur le risque n'est pas clair.,A,
Q15-8,Chapitre 15,Laquelle des valeurs suivantes est la corrélation préférée lors de l'ajout d'un titre unique à un portefeuille déjà bien diversifié ?,-1.0,0.0,0.5,1.0,A,
Q15-9,Chapitre 15,"Vous examinez deux entreprises. La première a un bêta de 1,2 et la seconde un bêta de 0,8. Il est très probable que...",L'entreprise 1 a tendance à être plus rentable que l'entreprise 2.,L'entreprise 2 a tendance à être plus rentable que l'entreprise 1.,L'entreprise 1 est un titre défensif et l'entreprise 2 est un titre cyclique.,L'entreprise 2 est un titre défensif et l'entreprise 1 est un titre cyclique.,D,
Q15-10,Chapitre 15,"Parmi les styles de gestion d'actions suivants, lequel tend à exposer l'investisseur au plus grand risque en période de récession ?",la valeur,la croissance,top-down,ascendant,B,
Q15-11,Chapitre 15,Pour le gestionnaire d'actions à rotation sectorielle...,la sélection des titres est plus importante que la sélection des secteurs et les actions à faible capitalisation sont généralement achetées.,la sélection sectorielle est plus importante que la sélection des actions et les actions à faible capitalisation sont généralement achetées.,la sélection des titres est plus importante que la sélection des secteurs et les actions à grande capitalisation sont généralement achetées.,La sélection du secteur est plus importante que la sélection des actions et les actions à grande capitalisation sont généralement achetées.,D,
Q15-12,Chapitre 15,"Dans le bon ordre, les trois premières étapes du processus de gestion de portefeuille sont les suivantes :","la détermination des objectifs et des contraintes d'investissement, l'élaboration d'une déclaration de politique d'investissement et la sélection des titres.",élaboration de l'énoncé de la politique d'investissement ; élaboration de la composition de l'actif ; et sélection des titres,déterminer les objectifs et les contraintes en matière d'investissement ; élaborer une déclaration de politique d'investissement ; et élaborer la composition de l'actif,"déterminer les objectifs et les contraintes de l'investissement, élaborer la composition de l'actif et surveiller le client, le marché et l'économie.",C,
Q15-13,Chapitre 15,La tolérance au risque du client doit correspondre à...,au risque de chaque titre du portefeuille.,au risque du titre moyen du portefeuille.,le risque du titre le plus risqué du portefeuille.,au risque de l'ensemble du portefeuille.,D,
Q15-14,Chapitre 15,"Sylvia Wong est une professionnelle célibataire de 35 ans. A des fins de planification financière, son horizon temporel devrait être compris comme le présent...",jusqu'à ce qu'elle ait besoin d'argent.,jusqu'au prochain changement majeur prévu dans sa vie.,jusqu'à sa retraite.,jusqu'à son décès.,B,
Q15-15,Chapitre 15,Lequel des produits suivants n'est pas considéré comme un produit à revenu fixe aux fins de la répartition de l'actif ?,les hypothèques,les obligations à coupons détachés,les actions privilégiées,les obligations convertibles,D,
Q15-16,Chapitre 15,Lequel des produits suivants est considéré comme une action aux fins de la répartition des actifs ?,Les actions ordinaires,Les obligations convertibles,Les fonds négociés en bourse,Tous ces produits,D,
Q15-17,Chapitre 15,La phase d'expansion du cycle des actions tend à correspondre à quelle phase du cycle économique ?,le creux,la reprise,l'expansion,le pic,C,
Q15-18,Chapitre 15,"Pendant la phase de pointe du cycle des actions, la stratégie recommandée en matière de revenu fixe consiste à détenir...",des obligations à court terme.,des obligations à moyen terme.,des obligations à long terme.,un portefeuille obligataire échelonné.,A,
Q15-19,Chapitre 15,La stratégie recommandée dans le creux du marché boursier du cycle des actions est de...,vendre des actions et acheter des obligations à long terme.,vendre des actions et des obligations à long terme.,vendre des obligations à long terme et acheter des actions cycliques.,vendre des obligations à long terme et acheter des obligations à court terme.,C,
Q15-20,Chapitre 15,Quelle est l'étape la plus importante dans la structuration d'un portefeuille ?,L'allocation d'actifs,La sélection des titres,Les décisions d'anticipation du marché,Toutes ces étapes sont également importantes,A,
Q15-21,Chapitre 15,"Un investisseur d'âge moyen ayant un long horizon temporel et une grande tolérance au risque vient vous voir pour vous demander des conseils en matière d'investissement. L'allocation d'actifs la plus appropriée pour cet investisseur serait la suivante : a) 50 % de liquidités, 30 % d'obligations, 20 % d'actions :","50 % de liquidités, 30 % d'obligations, 20 % d'actions","30 % de liquidités, 40 % d'obligations, 30 % d'actions","10 % de liquidités, 30 % d'obligations, 60 % d'actions","0 % de liquidités, 20 % d'obligations, 80 % d'actions",C,
Q15-22,Chapitre 15,"Une personne âgée de 65 ans, peu encline au risque et ayant un besoin important de revenus dans son portefeuille, vient vous voir pour vous demander des conseils en matière d'investissement. Le portefeuille le plus approprié pour cette personne serait...","10 % de liquidités, 65 % d'obligations, 25 % d'actions","40 % de liquidités, 40 % d'obligations, 20 % d'actions","50 % de liquidités, 50 % d'obligations, 0 % d'actions","60 % de liquidités, 40 % d'obligations, 0 % d'actions",A,
Q15-23,Chapitre 15,"Le portefeuille d'un investisseur, d'une valeur de 400 000 dollars, a une allocation stratégique d'actifs à long terme de 50 % en actions, 30 % en obligations et 20 % en liquidités. Sur un an, les actions baissent de 10 % et les obligations augmentent de 10 %. Les liquidités restent inchangées. Afin de rééquilibrer le portefeuille en fonction de l'allocation stratégique, le gestionnaire de portefeuille devrait...","acheter pour 16 000 $ d'actions, vendre pour 14 400 $ d'obligations et acheter pour 1 600 $ de liquidités.","acheter des actions pour une valeur de 16 000 $, vendre des obligations pour une valeur de 14 400 $ et vendre des liquidités pour une valeur de 1 600 $.","acheter des actions pour une valeur de 14 400 $, vendre des obligations pour une valeur de 16 000 $ et acheter des liquidités pour une valeur de 1 600 $.","acheter pour 20 000 $ d'actions, vendre pour 18 000 $ d'obligations et vendre pour 2 000 $ de liquidités.",B,
Q15-24,Chapitre 15,"Lorsqu'un analyste compare les ratios de Sharpe de différents portefeuilles, il doit rechercher le...",le nombre positif le plus bas possible.,le nombre négatif le plus bas possible.,le nombre positif le plus élevé possible.,le nombre négatif le plus élevé possible.,C,
Q15-25,Chapitre 15,Un ratio de Sharpe négatif signifie que...,le portefeuille a perdu de l'argent.,le rendement du portefeuille a été inférieur au taux sans risque.,le rendement du portefeuille est inférieur à celui de l'indice de référence.,le rendement du portefeuille est inférieur à celui de l'indice de référence moins le taux sans risque.,B,
Q17-1,Chapitre 17,L'avantage de la diversification dans un fonds commun de placement est le plus étroitement associé à la réduction ou à l'élimination...,le risque de marché.,le risque systématique.,le risque non systématique.,le risque commercial.,C,
Q17-2,Chapitre 17,Quel avantage unique les régimes de cotisations préautorisées offrent-ils ?,Ils permettent aux investisseurs d'anticiper le marché.,Ils permettent aux investisseurs d'investir de petites sommes.,Ils permettent aux investisseurs de réduire les frais de gestion des fonds qu'ils détiennent.,Ils permettent aux investisseurs de passer d'un fonds à l'autre sans frais supplémentaires.,B,
Q17-3,Chapitre 17,Quel est l'avantage de la structure fiduciaire pour les fonds communs de placement ?,La structure permet au fonds lui-même d'éviter l'imposition.,La structure donne aux investisseurs la confiance nécessaire pour investir.,La structure garantit que les frais ne seront prélevés que si le fonds fournit un rendement positif.,La structure fiduciaire n'apporte aucun avantage particulier aux fonds communs de placement.,A,
Q17-4,Chapitre 17,"Parmi les parties suivantes, laquelle est responsable en dernier ressort des activités d'un fonds commun de placement ?",Les administrateurs,le gestionnaire,le dépositaire,les distributeurs,A,
Q17-5,Chapitre 17,"Toutes les tâches suivantes incombent au gestionnaire d'un fonds commun de placement, à l'exception de...",le calcul de la valeur nette d'inventaire de l'OPCVM.,la préparation du prospectus de l'OPCVM et d'autres rapports.,la supervision de la tenue des registres des actionnaires ou des détenteurs de parts.,l'acceptation et la transmission des ordres de rachat des parts de l'OPCVM.,D,
Q17-6,Chapitre 17,"Un fonds commun de placement a été acheté le 2 janvier 2015 alors que sa valeur liquidative était de 20,00 $. Il a été vendu avec des frais de rachat qui ont commencé à 6 % et ont diminué de 1 % pour chaque année suivante, les frais étant basés sur la valeur liquidative au moment de la vente. Si les parts valaient 24,00 $ en octobre 2018 lorsqu'elles ont été vendues, l'investisseur recevrait...",$23.28.,$23.40.,$23.70.,$24.00.,A,
Q17-7,Chapitre 17,Les honoraires annuels versés au vendeur qui a vendu le fonds sont appelés...,la commission de suivi.,les frais d'entrée.,les frais de rachat.,commission de rachat.,A,
Q17-8,Chapitre 17,"Parmi les affirmations suivantes, laquelle est la moins probable que vous approuviez à propos du document d'information sur les fonds communs de placement ?",La livraison doit avoir lieu dans les deux jours ouvrables suivant l'achat de l'OPC.,"L'aperçu du fonds est divisé en deux grandes rubriques, chacune ayant sa propre section d'éléments connexes.","Les sections couvertes par le premier titre fournissent des informations sur l'OPCVM, y compris des informations rapides et des risques.","Les sections couvertes par la deuxième rubrique fournissent des informations sur les performances passées et le coût d'achat, de détention et de vente de l'OPCVM.",A,
Q17-9,Chapitre 17,Lequel des énoncés suivants est le plus susceptible d'être approuvé en ce qui concerne le prospectus simplifié et la notice annuelle ?,Le prospectus simplifié doit être mis à jour trimestriellement.,Le prospectus simplifié doit être remis à l'investisseur à sa demande.,La fiche d'information annuelle ne contient pas d'informations qui figurent également dans le prospectus simplifié.,La fiche d'information annuelle ne doit pas être mise à la disposition des investisseurs s'ils reçoivent déjà un prospectus simplifié.,B,
Q17-10,Chapitre 17,Laquelle des restrictions habituelles suivantes concernant les organismes de placement collectif ne s'appliquerait pas au gestionnaire d'un organisme de placement collectif spécialisé ?,Aucun emprunt à des fins d'effet de levier.,Pas plus de 10 % des actions avec droit de vote d'une société.,Pas plus de 10 % de l'actif net en titres d'un même émetteur.,Toutes ces restrictions s'appliquent au gestionnaire d'un fonds commun de placement spécialisé.,D,
Q17-11,Chapitre 17,"La pratique de vente interdite consistant à ""proposer un prix futur"" est plus étroitement associée à...",à l'exécution en avance (front-running).,l'antidatation des ordres.,l'offre de rachat.,la garantie des retours.,B,
Q17-12,Chapitre 17,"Harold Zhang est employé par la banque XYZ et vend des fonds communs de placement par l'intermédiaire de son agence du centre-ville. Un de ses clients souhaite contracter un prêt auprès de M. Zhang, puis lui acheter des parts d'OPCVM. Pour que cela soit acceptable, M. Zhang doit...",ne rien faire. Il peut accepter la commande.,obtenir l'approbation de son supérieur.,obtenir l'accord d'un responsable des prêts.,"En aucun cas, cela ne serait acceptable.",C,
Q17-13,Chapitre 17,Lequel des énoncés suivants est le moins susceptible d'être vrai en ce qui concerne les fonds communs de placement à petite capitalisation ?,Ils exposent l'investisseur à un risque plus élevé que les fonds à grande capitalisation.,Ils exposent l'investisseur à des rendements attendus plus élevés que les fonds à grande capitalisation.,"Ils tirent la majorité de leurs rendements des dividendes, plutôt que des plus-values.",Les distributions de ces fonds seraient imposées de la même manière que les distributions des fonds à grande capitalisation.,C,
Q17-14,Chapitre 17,"Un investisseur a acheté pour 25 000 dollars de fonds communs de placement il y a vingt ans. Au fil des ans, il a reçu un total de 5 000 dollars de dividendes qui ont été réinvestis dans des parts supplémentaires. Il vend la moitié des parts pour 20 000 dollars. Quelles sont ses plus-values ?",Il n'y a pas de plus-value.,"$2,500.","$5,000.","$7,500.",C,
Q17-15,Chapitre 17,"Parmi les plans de retrait suivants, lequel (lesquels) entraîne(nt) une diminution constante des versements au fil des ans ?",Plan de retrait proportionnel seulement.,Le plan de retrait proportionnel et le plan à période fixe uniquement.,Plan de retrait proportionnel et plan ajusté à l'espérance de vie uniquement.,"Régime de retrait proportionnel, régime à période fixe et régime ajusté en fonction de l'espérance de vie.",A,
Q17-16,Chapitre 17,"Si vous constatez qu'un fonds commun de placement a une Volatilité(Vty) de 9, vous comprendrez que...","au cours de l'année précédente, il a été beaucoup moins volatil que la plupart des fonds.","au cours de l'année précédente, il a été beaucoup plus volatil que la plupart des fonds.","sur les trois dernières années, il a été beaucoup moins volatil que la plupart des fonds.","au cours des trois dernières années, il a été beaucoup plus volatil que la plupart des fonds.",B,
Q17-17,Chapitre 17,Les méthodes de calcul des taux de rendement pondérés dans le temps sont les suivantes : i) la méthode du ratio de Sharpe ii) la méthode de Dietz modifiée iii) Méthode d'évaluation quotidienne,i) & ii),i) et iii),ii) et iii),"i), ii) et iii)",C,
Q17-18,Chapitre 17,Le biais de survie tend à...,gonfler les rendements et surestimer les actifs sous gestion.,gonfler les rendements et sous-estimer les actifs sous gestion.,gonfler les rendements mais ne pas avoir d'impact sur les actifs sous gestion.,à sous-estimer les rendements et à surestimer les actifs sous gestion.,B,
Q17-19,Chapitre 17,Pourquoi l'écart de suivi des ETF est-il généralement inférieur à celui des fonds communs de placement comparables ?,Les ETF poursuivent une stratégie purement indicielle.,Les frais administratifs et de négociation sont moins élevés.,Les ETF ont tendance à négocier des titres plus liquides que les fonds communs de placement.,L'erreur de suivi des ETF est en fait plus importante que celle des fonds communs de placement comparables.,B,
Q17-20,Chapitre 17,Lesquelles des deux méthodes suivantes sont généralement utilisées pour créer des ETF ?,L'échantillonnage et la réplication complète.,Réplication partielle et réplication complète.,Échantillonnage aléatoire et réplication complète.,Échantillonnage aléatoire et réplication aléatoire.,A,
Q17-21,Chapitre 17,"Lequel des énoncés suivants décrit correctement la relation entre les RFG des FNB indiciels, des FNB gérés activement et des fonds communs de placement gérés activement ?","Les FNB indiciels et les FNB gérés activement ont des RFG similaires, qui sont inférieurs à ceux des fonds communs de placement gérés activement.","Les ETF indiciels ont les RFG les plus bas, et les RFG des ETF activement gérés et des fonds communs de placement activement gérés sont similaires.","Les ETF indiciels ont les RFG les plus bas, et les RFG des ETF gérés activement sont inférieurs à ceux des fonds communs de placement gérés activement.",Les FNB indiciels ont les RFG les plus bas et les RFG des FNB gérés activement sont plus élevés que ceux des fonds communs de placement gérés activement.,C,
Q17-22,Chapitre 17,"Lequel des ETF suivants est construit avec des produits dérivés, tels que des swaps ?",Synthétique,Matières premières,Covered-call,Basé sur des règles,A,
Q17-23,Chapitre 17,"Tous les éléments suivants sont des types de fonds négociés en bourse de matières premières, à l'exception de...",basés sur des actions,basés sur des contrats à terme,basés sur des produits physiques,basés sur des contrats à terme,D,
Q17-24,Chapitre 17,"Par rapport aux fonds communs de placement, le frottement des liquidités est...",un problème moins important pour les fonds négociés en bourse.,un problème équivalent pour les fonds négociés en bourse.,un problème plus important pour les fonds négociés en bourse.,Le frottement des liquidités ne concerne ni les fonds communs de placement ni les fonds négociés en bourse.,A,
