id,chapter,question,option_a,option_b,option_c,option_d,correct_option,explanation
Q17-25,Chapitre 17,Lequel des énoncés suivants est le moins susceptible d'être un conseil pour la négociation des fonds négociés en bourse ?,"Pour les ordres importants, placez une grande partie de la transaction en une seule fois.",Soyez prudent lorsque vous négociez des ETF et que l'un des principaux sous-jacents est interrompu.,Utilisez les ordres au marché afin de vous assurer que l'ETF souhaité est acheté.,Éviter de négocier des ETF lorsque le marché des titres sous-jacents n'est pas actif.,C,
Q20-1,Chapitre 20,"Selon la législation provinciale, la garantie minimale prévue par la loi pour un fonds distinct est de...",75 % après 5 ans.,75 % après 10 ans.,100 % après 5 ans.,100 % après 10 ans.,B,
Q20-2,Chapitre 20,"Une investisseuse a acheté pour 10 000 $ d'unités de fonds distincts qui étaient garanties jusqu'à 75 % de leur valeur, à condition qu'elles soient détenues pendant la période requise. Lorsque les unités valent 11 000 $, elle en vend 1 000 $. Son nouveau montant garanti serait le plus proche de...","$6,750.","$6,825.","$7,500.","$9,000.",B,
Q20-3,Chapitre 20,La protection contre les créanciers implique que si un propriétaire d'entreprise décède avec des investissements non enregistrés et des dettes liées à l'entreprise qui sont supérieures à la valeur des investissements...,"après les frais d'homologation, ses bénéficiaires partageront la valeur des investissements avec les créanciers.","après les frais d'homologation, ses bénéficiaires recevront la valeur totale des investissements.",ses bénéficiaires recevront la moitié de la valeur des investissements sans frais d'homologation.,ses bénéficiaires recevront la valeur totale des investissements sans frais d'homologation.,D,
Q20-4,Chapitre 20,Lequel des éléments suivants est un avantage clé des fonds distincts par rapport aux fonds communs de placement en matière de planification successorale ?,la prestation de décès,la fonction de réinitialisation,la possibilité d'éviter les frais d'homologation,la garantie à l'échéance,C,
Q20-5,Chapitre 20,Le principal document d'information sur un fonds distinct est...,l'aperçu du fonds.,le dépliant explicatif.,le prospectus simplifié,la notice annuelle.,B,
Q20-6,Chapitre 20,Lequel des éléments suivants est le principal facteur permettant de déterminer si une personne est autorisée à investir dans des fonds spéculatifs ?,la valeur nette,la formation,l'effet de levier personnel,l'expérience en matière d'investissement,A,
Q20-7,Chapitre 20,Quel est le moyen le plus efficace de gérer le risque opérationnel associé à un fonds spéculatif donné ?,La diversification,La diligence raisonnable,L'investissement dans des fonds de fonds,L'assurance par le biais de produits dérivés,B,
Q20-8,Chapitre 20,La période de blocage profite le plus directement...,au gestionnaire du fonds spéculatif.,à l'investisseur du fonds spéculatif.,La période de blocage profite à parts égales au gestionnaire et à l'investisseur.,La période de blocage ne profite ni au gestionnaire ni à l'investisseur.,A,
Q20-9,Chapitre 20,"Hemali Singh est une gestionnaire de fonds spéculatif qui gère son fonds selon la règle ""2 & 20"". En 2018, elle a commencé l'année avec 10 millions de dollars d'actifs sous gestion. Après déduction des frais à la fin de l'année, le fonds spéculatif valait 14 millions de dollars. À la fin de l'année 2019, le fonds spéculatif valait 12 millions de dollars. À la fin de l'année 2020, il valait 14 millions de dollars. En supposant que son fonds fonctionne selon les règles du ""high water mark"", ses frais pour 2020 seraient les plus proches de...",$0.,"$280,000.","$400,000.","$680,000.",B,
Q20-10,Chapitre 20,"Un gestionnaire d'investissement examine plusieurs fonds spéculatifs différents. Toutes choses étant égales par ailleurs, il préférerait les fonds spéculatifs ayant...",des délais de blocage courts et des taux de rendement faibles.,des délais de blocage courts et des taux de rendement élevés.,des lock-ups longs et des hurdle rates faibles.,"un blocage long et des ""hurdle rates"" élevés.",B,
Q20-11,Chapitre 20,"Parmi les affirmations suivantes concernant les montants d'investissement et les crédits d'impôt, avec laquelle êtes-vous le plus d'accord en ce qui concerne les SCRT ?",Il y a un montant maximum que vous pouvez investir et il y a des montants maximums annuels pour les crédits d'impôt.,Il y a un montant maximum que vous pouvez investir mais il n'y a pas de montant maximum annuel pour les crédits d'impôt.,Il n'y a pas de montant maximum que vous pouvez investir et il y a des montants maximums annuels pour les crédits d'impôt.,Il n'y a pas de montant maximum que vous pouvez investir mais il y a des montants maximums annuels pour les crédits d'impôt.,C,
Q20-12,Chapitre 20,"Jacques a investi 5 000 $ dans son RER dans la province de Québec, dont le crédit d'impôt provincial correspond au crédit d'impôt fédéral. En supposant un taux marginal d'imposition de 40 %, le coût réel après impôt de l'investissement est le plus proche de :","$1,000.","$1,250.","$1,500.","$2,500.",C,
Q20-13,Chapitre 20,"Historiquement, parmi les types de fonds suivants, lesquels se négocient généralement avec une décote par rapport à leur valeur liquidative ?",Les fonds ouverts,Les fonds à capital fixe,Les fonds ouverts et les fonds fermés,Les fonds ouverts et les fonds fermés,B,
Q20-14,Chapitre 20,"Par rapport aux fonds ouverts, les fonds fermés offrent tous les avantages suivants aux investisseurs, à l'exception de ce qui suit :",Les fonds à capital fixe peuvent être vendus à découvert. Les fonds ouverts ne le peuvent pas.,Les fonds à capital fixe sont généralement mieux investis que les fonds à capital variable.,Les fonds fermés sont généralement plus diversifiés que les fonds ouverts.,"Les plus-values, les dividendes et les distributions d'intérêts sont versés directement aux investisseurs des fonds à capital fixe.",C,
Q20-15,Chapitre 20,Quel est l'inconvénient potentiel d'un investissement dans une FPI ?,Les FPI ne sont pas soumises à des règles d'information complètes.,Les FPI ont parfois un faible volume de transactions.,Les FPI ne sont pas des investissements liquides par rapport à l'immobilier.,Les FPI ne fournissent pas de revenus aux investisseurs - toute la croissance se fait sous forme de plus-values.,B,
Q20-16,Chapitre 20,"Parmi les affirmations suivantes concernant les risques associés aux fonds de commerce, avec laquelle êtes-vous le plus d'accord ?",Ils sont soumis au même risque de taux d'intérêt que les titres à revenu fixe et sont moins stables que le marché des actions.,Ils sont soumis au même risque de taux d'intérêt que les titres à revenu fixe et sont aussi stables que le marché des actions.,Ils sont soumis au même risque de taux d'intérêt que les titres à revenu fixe et sont plus stables que le marché des actions.,Ils sont soumis à un risque de taux d'intérêt moindre que les titres à revenu fixe et sont plus stables que le marché des actions.,C,
Q20-17,Chapitre 20,Le financement par capital-investissement dans des secteurs peu performants ou en perte de vitesse qui font l'objet d'une restructuration est considéré comme...,redressement.,la phase initiale.,stade ultérieur.,capital de croissance.,A,
Q20-18,Chapitre 20,Lequel des énoncés suivants décrit le mieux le rôle des gestionnaires de fonds de capital-investissement dans la participation d'une entreprise dans laquelle ils ont investi ?,Les gestionnaires de capital-investissement ne participent presque jamais.,Les gestionnaires de capital-investissement ne participent que si l'entreprise connaît des difficultés financières.,Les gestionnaires de fonds de capital-investissement participent à l'élaboration du plan d'entreprise et à la sélection des cadres supérieurs.,Les gestionnaires de fonds de capital-investissement se nomment généralement eux-mêmes PDG et président et sont également présents au sein du conseil d'administration.,C,
Q20-19,Chapitre 20,Les deux types de BFP les plus populaires émis au Canada sont...,les BCP indexés et les BCP liés à des fonds spéculatifs.,les BCP indexés et les BCP liés à un panier d'actions.,les BCP liés à un panier d'actions et les BCP liés à un fonds de couverture.,BCP liés à un panier d'actions et BCP liés à des titres à revenu fixe.,B,
Q20-20,Chapitre 20,Quel est le risque le moins probable associé aux BCP ?,Le risque de crédit,Le risque de liquidité,Le risque commercial,Le risque de performance,C,
Q20-21,Chapitre 20,Un investisseur dans un CPG lié au marché préfère...,un rendement élevé de l'indice et un taux de participation de 0 %.,un rendement indiciel élevé et un taux de participation de 50 %.,un rendement indiciel élevé et un taux de participation de 90 %.,Un investisseur dans un CPG indiciel n'est pas touché par le taux de participation.,C,
Q20-22,Chapitre 20,"Lorsque des actions fractionnées sont créées, c'est généralement pour une durée de...",un an.,d'un an à trois ans.,d'un an à cinq ans.,de trois ans à dix ans.,D,
Q20-23,Chapitre 20,L'initiateur d'un titre adossé à des actifs regroupe généralement les actifs et les vend à un...,garant.,distributeur.,partenaire stratégique.,une structure d'accueil.,D,
Q20-24,Chapitre 20,Lequel n'est pas l'un des niveaux d'une tranche standard à trois niveaux d'un titre adossé à des actifs ?,junior,senior,garantie,mezzanine,C,
Q20-25,Chapitre 20,"Parmi les affirmations suivantes concernant les titres adossés à des créances hypothécaires canadiennes, avec laquelle êtes-vous le moins d'accord ?",Les hypothèques sous-jacentes sont entièrement assurées par la Société canadienne d'hypothèques et de logement.,Les titres adossés à des créances hypothécaires sont composés séparément de prêts hypothécaires remboursables par anticipation (ouverts) et de prêts hypothécaires non remboursables (fermés).,"La seule partie imposable du flux de revenus d'un MBS est le remboursement du principal, le remboursement des intérêts n'étant pas imposable.","Les titres adossés à des créances hypothécaires les plus courants sont des pools de cinq ans libellés en multiples de 5 000 dollars, avec un rendement comparable à celui d'un CPG.",C,
Q24-1,Chapitre 24,"Tous les éléments suivants sont des stratégies légitimes d'évitement de l'impôt, sauf...",le report de la perception des revenus.,l'utilisation complète des déductions non admises.,la sélection d'investissements offrant un meilleur rendement après impôt.,le partage des revenus avec d'autres membres de la famille selon des règles prescrites.,B,
Q24-2,Chapitre 24,"Un investisseur est salarié au George Brown College. L'achat de vêtements habillés lui coûte environ 1 000 $ par an. Sinon, il vivrait en T-shirts et en blue-jeans. Il a besoin de conseils pour savoir s'il peut déduire cette dépense à des fins fiscales. La meilleure explication est que...",il ne le peut pas parce que les revenus d'emploi sont imposés sur la base des recettes nettes.,il ne le peut pas parce que le revenu d'emploi est imposé sur la base des recettes brutes.,il peut le faire parce qu'il s'agit d'une dépense professionnelle.,qu'il peut le faire à condition de conserver les transferts et de documenter soigneusement les dépenses.,B,
Q24-3,Chapitre 24,"Un investisseur a reçu un dividende d'une société canadienne imposable d'un montant de 250,00 $. Quels seraient i) la majoration et ii) le crédit d'impôt pour dividendes ?","i) 95,00 $ et ii) 37,55","i) 95,00 $ et ii) 51,82","i) 345,00 $ et ii) 37,55","i) 345,00 $ et ii) 51,82",B,
Q24-4,Chapitre 24,"Un investisseur possède à la fois un placement important et un compte REER. Les frais d'administration du REER sont de 125 $ et il envisage de contracter un emprunt pour cotiser au REER de cette année. Afin de minimiser sa charge fiscale, la meilleure recommandation serait qu'elle...",de demander la déduction fiscale de 125 $ pour les frais d'administration du REER et de contracter un prêt REER de 10 000 $.,demander la déduction fiscale de 125 $ pour les frais d'administration du REER et contracter un prêt de 10 000 $ appliqué au REER ou au compte de placement et déduire les frais d'intérêt des gains réalisés dans l'un ou l'autre de ces comptes.,contracter un emprunt de 10 000 $ sur le REER ou le compte de placement et déduire les frais d'intérêt des gains réalisés dans l'un ou l'autre de ces comptes.,contracter un emprunt de 10 000 $ dans le compte de placement et déduire les frais d'intérêt des gains réalisés dans le compte de placement.,D,
Q24-5,Chapitre 24,"Un investisseur a acheté 500 actions du titre ABC à 12 $ l'action en 2016 et une commission de 1,5 % du prix d'achat lui a été facturée. En 2018, lorsque les actions étaient à 12,50 $ l'unité, les 500 actions ont été vendues et une commission fixe de 29 $ a été appliquée. Quel est le gain en capital imposable (en supposant un taux d'inclusion de 50 %) ?",$ 65.50,$ 94.50,$125.00,$131.00,A,
Q24-6,Chapitre 24,"Un investisseur a acheté 300 actions de CICO systems en 2010 à 60 $. En 2011, il en a acheté 200 autres à 35 $ et enfin 400 autres à 18 $ en 2016. En 2020, il a vendu 200 actions à 24 $ l'action. Quel est le prix de base rajusté des actions qu'il a vendues ?",$18.00,$35.78,$37.67,$60.00,B,
Q24-7,Chapitre 24,"Une investisseuse a acheté 100 actions de la société XYZ à 20 $ en 2017. Un an plus tard, elle a acheté une débenture convertible XYZ d'une valeur nominale de 1 000 $, convertible en 25 actions ordinaires de XYZ. Par la suite, elle a exercé l'option de conversion. Quel est le prix de base rajusté de ses 125 actions de XYZ ?",$20,$24,$30,Information insuffisante,B,
Q24-8,Chapitre 24,Le type particulier de perte qui résulte de la vente et de l'achat du même titre dans un délai limité et qui n'est pas déductible fiscalement en tant que perte en capital est connu sous le nom de (n)....,perte sans impôt.,perte cumulée.,perte différée.,perte superficielle.,D,
Q24-9,Chapitre 24,"Pour une année donnée, le 31 décembre tombe un mardi. Le dernier jour où un investisseur peut vendre ses actions et déclarer une perte en capital est...",le jeudi 26 décembre.,le vendredi 27 décembre.,le lundi 30 décembre.,Le mardi 31 décembre.,B,
Q24-10,Chapitre 24,Une personne travaille chez Bombardier où elle bénéficie d'un généreux régime de retraite à prestations définies. Sa cotisation pour service courant serait limitée au moindre de 9 % de la rémunération de l'employé pour l'année ou de,1 000 $ plus 70 % de son FE pour l'année.,1 000 $ plus 100 % de leur FE pour l'année.,10 000 $ plus 70 % de son FE pour l'année.,10 000 $ plus 100 % de leur FE pour l'année.,A,
Q24-11,Chapitre 24,Un investisseur a 50 000 $ dans son REER. Il veut retirer 10 000 $ pour s'offrir des vacances de rêve. Lequel des énoncés suivants décrit le mieux les conséquences de cette décision ?,Il ne pourra en aucun cas retirer l'argent.,Il ne pourra pas retirer l'argent à moins que Revenu Canada n'accorde une exemption spéciale.,Il serait autorisé à retirer l'argent mais la partie croissance serait imposée à son taux marginal le plus élevé.,"Il serait autorisé à retirer l'argent, mais la totalité du montant serait imposée à son taux marginal le plus élevé.",D,
Q24-12,Chapitre 24,"En 2020, M. Wilson a gagné 40 000 $ en salaire de base et 10 000 $ en commissions dans le cadre de son emploi de vendeur à la banque. Il a gagné un revenu locatif net de 5 000 $ et un revenu d'intérêt de 1 500 $. La moitié de ce revenu d'intérêt a été gagné dans son compte REER. Il a également reçu 200 $ en redevances pour un article qu'il a publié dans le journal. Pour 2020, son plafond de cotisation à un REER serait de...","$ 9,000.","$ 9,936.","$10,071.","$10,206.",B,
Q24-13,Chapitre 24,"Un investisseur a gagné 100 000 $ en 2020. Sa femme a gagné un montant similaire et a cotisé le maximum à son REER de conjoint. Plus tôt dans l'année, il a cotisé 5 000 $ à son propre REER. Lequel des énoncés suivants décrit le mieux les options qui s'offrent à lui en ce qui concerne ses droits de cotisation restants ?",Il peut seulement verser 13 000 $ de plus dans son REER.,Il peut verser 13 000 $ de plus dans son REER et 18 000 $ dans le REER de conjoint de son épouse.,Il peut verser 13 000 $ de plus dans son REER ou dans le régime de conjoint de sa femme.,Il peut verser 13 000 $ dans le régime de conjoint de sa femme.,C,
Q24-14,Chapitre 24,Lequel des énoncés suivants ne s'applique pas aux REEE ?,Les cotisations au régime sont déductibles d'impôt.,La cotisation maximale à vie par bénéficiaire est de 50 000 $.,Il existe deux types de REEE : les régimes en gestion commune et les régimes autogérés.,La Subvention canadienne pour l'épargne-études (SCEE) offre des subventions de contrepartie dans des limites prescrites.,A,
Q24-15,Chapitre 24,Les REER de conjoint sont le plus étroitement associés à la stratégie de planification fiscale du...,le fractionnement du revenu.,l'acquittement des dettes.,le transfert de revenus.,le don aux membres de la famille.,A,
Q24-16,Chapitre 24,Laquelle des affirmations suivantes concernant les comptes à honoraires est la plus probable ?,Les clients fortunés n'ont pas besoin de plus de la part de leurs conseillers qu'une simple sélection de titres.,Les clients fortunés n'apprécient pas la clarté de l'information fournie par un compte à honoraires.,Les études de marché montrent que les clients fortunés souhaitent qu'une partie des honoraires du conseiller soit liée aux actifs gérés.,"Dans le cadre d'une relation tarifée, les clients ne sont pas convaincus que les recommandations sont fondées sur leurs meilleurs intérêts.",C,
Q24-17,Chapitre 24,Les services les plus élémentaires offerts dans le cadre des comptes gérés discrétionnaires sont...,les comptes familiaux.,les comptes gérés par un conseiller.,les comptes gérés séparément.,les enveloppes de fonds communs de placement et les enveloppes de fonds négociés en bourse (ETF).,D,
Q24-18,Chapitre 24,"En tant que gestionnaires de portefeuille, les conseillers utilisent lequel des deux types de programmes suivants pour servir leurs clients ?",Les comptes gérés séparément et les comptes gérés multi-mandats,Les comptes gérés séparément et les comptes gérés séparément à mandat unique,Comptes gérés séparément à mandat unique et comptes gérés à mandat multiple,Gestion de compte discrétionnaire basée sur un modèle et gestion de compte discrétionnaire non basée sur un modèle,D,
Q24-19,Chapitre 24,"Dans le cas des comptes gérés à mandats multiples, qui est chargé de consolider les investissements d'un client au sein d'un ensemble de comptes dédiés et d'en assurer la surveillance ?",Le gestionnaire de superposition,Le gestionnaire de portefeuille,Le conseiller en investissement,Le gestionnaire du family office privé,,
Q24-20,Chapitre 24,Le pouvoir discrétionnaire concernant un compte géré...,peut être verbale ou écrite.,doit être donné par le client par écrit.,doit être donnée par le client par écrit et acceptée par écrit par le superviseur désigné.,doit être donnée par écrit par le client et peut être acceptée verbalement ou par écrit par le responsable désigné.,C,
Q24-21,Chapitre 24,Certains courtiers en valeurs mobilières offrent deux niveaux de comptes à honoraires. Le niveau supérieur offre généralement...,des services de planification successorale.,des services de planification financière.,des opérations gratuites plus nombreuses ou illimitées.,"des services de planification successorale, des services de planification financière et davantage d'opérations gratuites ou des opérations gratuites illimitées.",C,
Q24-22,Chapitre 24,Les comptes de courtage autogérés appartiennent à laquelle des catégories suivantes ? i) Les comptes à honoraires ii) Les services de conseil robotisés iii) L'orientation directe de la répartition des actifs et des titres,i) et ii) uniquement,i) et iii) uniquement,ii) et iii) uniquement,"i), ii) et iii)",C,
Q24-23,Chapitre 24,Les investisseurs qui utilisent le modèle d'orientation directe sont les moins susceptibles de bénéficier du service suivant :,Nombre illimité de transactions.,Rapports de recherche gratuits.,Outils pour construire et suivre une allocation d'actifs.,"Recommandations d'investissement, alertes et rappels.",B,
Q24-24,Chapitre 24,Lequel des éléments suivants est le moins susceptible d'être un inconvénient du service de robo-advisory ?,La taille minimale des comptes est moins élevée.,Le service personnalisé peut ne pas intéresser les investisseurs fortunés.,Le service local est limité ; la plupart des services sont fournis en ligne.,Les services de planification financière et de gestion de patrimoine s'appuient souvent sur une technologie qui n'en est qu'à ses débuts.,A,
Q26-1,Chapitre 26,"Tous les éléments suivants sont des objectifs d'un plan financier, sauf...",il doit être complexe.,il doit être réalisable.,il doit s'adapter à de petits changements dans le mode de vie.,il doit prévoir des dépenses de luxe et des dépenses de première nécessité.,A,
Q26-2,Chapitre 26,"La lettre d'engagement ou le contrat de service professionnel conclu entre le conseiller en placement et le client doit répondre à toutes les questions suivantes, sauf...",Comment le conseiller sera-t-il rémunéré ?,Quels services le conseiller fournira-t-il ?,Comment les actifs du client seront-ils répartis ?,Quelle est la durée prévue de la relation professionnelle ?,C,
Q26-3,Chapitre 26,"Les objectifs d'investissement peuvent généralement être décrits comme un désir de revenu, de croissance du capital et de préservation du capital. Les autres objectifs d'investissement comprennent",la liquidité et l'horizon temporel,Minimisation des impôts et liquidité,Minimisation des impôts et horizon temporel,minimisation des impôts et objectifs particuliers,B,
Q26-4,Chapitre 26,Une allocation d'actifs composée de 80 % d'actions et de 20 % de titres à revenu fixe est plus étroitement associée à...,Étape 1 : Les premières années de revenus.,Stade 2 : années d'engagement familial.,Étape 3 : Années de revenus matures.,Étape 4 : L'approche de la retraite.,A,
Q26-5,Chapitre 26,Les professionnels de l'investissement doivent-ils s'abstenir de négocier pour leur propre compte en ayant connaissance des ordres en attente de leurs clients ?,Non. Il s'agit d'une violation de l'intégrité.,Non. Il s'agit d'une violation de la confidentialité.,Non. Il s'agit d'une violation du professionnalisme.,Oui. C'est tout à fait acceptable.,B,
Q26-6,Chapitre 26,Un conseiller en investissement entend à la radio que l'une des principales participations de son client fait l'objet d'une enquête de la SEC pour n'avoir pas divulgué toutes ses difficultés financières. Il s'attend à une forte baisse de l'action à l'ouverture du marché. La meilleure solution pour le conseiller en investissement est de...,ne pas appeler le client car cela le contrarierait.,ne pas appeler le client parce qu'il vaut mieux qu'il l'apprenne lui-même par les médias.,appeler le client et lui rappeler toutes les bonnes transactions qui ont été faites pour lui dans le passé.,appeler le client et essayer de lui expliquer en termes simples ce qui se passe et ce que cela signifie pour lui.,D,
Q26-7,Chapitre 26,Si un titulaire acquiert une information matérielle non publique...,il est tenu d'agir en conséquence au bénéfice de ses clients.,"le titulaire est tenu d'agir en premier lieu dans l'intérêt de ses clients, puis il peut agir lui-même.","le déclarant est tenu d'agir sur la base de ces informations pour le compte de ses clients, et il est tenu d'agir lui-même sur la base de ces informations par la suite.","le déclarant n'est tenu ni de communiquer l'information, ni d'y donner suite.",D,
Q26-8,Chapitre 26,"Sur l'éventail des courtiers en valeurs mobilières, qui se situe à l'opposé des courtiers de plein exercice ?",Les robots-conseillers,Les courtiers en valeurs mobilières,Les courtiers autogérés,Les boutiques de banque d'investissement,C,
Q26-9,Chapitre 26,"Parmi les affirmations suivantes, quelle est celle avec laquelle vous êtes le moins susceptible d'être d'accord en ce qui concerne l'accès électronique direct (AED) ?",Les courtiers en valeurs mobilières l'offrent à leurs clients institutionnels du côté de l'achat.,Le courtier en valeurs mobilières doit assumer la responsabilité du respect des exigences réglementaires relatives à l'activité de négociation par AED du client.,Les courtiers en valeurs mobilières exigent de leurs clients qu'ils signent un accord écrit précisant qu'ils se conformeront aux exigences du marché.,"Une fois que les contrôles de conformité pré-négociation ont été effectués, le courtier n'est pas tenu d'effectuer une surveillance post-négociation régulière.",D,
Q26-10,Chapitre 26,L'analyse des coûts de transaction prend en compte...,les coûts explicites tels que les frais de courtage et les commissions uniquement.,les coûts implicites tels que les frais et commissions de courtage uniquement.,les coûts explicites tels que les frais de courtage et les commissions et les coûts implicites tels que les écarts entre les cours acheteur et vendeur et l'impact sur le marché.,les coûts implicites tels que les frais de courtage et de commission et les coûts explicites tels que les écarts entre les cours acheteur et vendeur et l'impact sur le marché.,C,
Q26-11,Chapitre 26,"Parmi les fonctions suivantes, laquelle est la moins susceptible d'être considérée comme une fonction de middle office ?",Les opérations,La gestion des risques,La trésorerie d'entreprise,Le service juridique et la conformité,A,
Q26-12,Chapitre 26,Lequel des éléments suivants est le moins susceptible d'être considéré comme un front office ?,La vente et le négoce,La banque d'affaires,Les services de titres,Les technologies de l'information,D,
Q26-13,Chapitre 26,"Lequel des éléments suivants est considéré à juste titre comme un ""aspect d'importance vitale du courtage de premier ordre"" ?",Le financement sur marge,Le prêt de titres,Le règlement des titres,La comptabilité de portefeuille,B,
Q26-14,Chapitre 26,Laquelle des catégories suivantes n'est pas l'une des catégories générales de revenus des sociétés d'investissement sell-side ?,Les commissions,Les intérêts,La souscription d'actions,Les revenus de la négociation provenant des écarts obtenus lors de la négociation pour compte propre,C,
Q26-15,Chapitre 26,Les trois domaines d'activité qui travaillent de manière interdépendante pour générer des revenus pour les sociétés de vente de titres à revenu fixe sont les suivants : a) la négociation ; b) la vente ; c) l'origination :,Négociation ; Vente ; Origination,Écarts entre les cours acheteur et vendeur ; Ventes ; Origination,Écarts entre les cours acheteur et vendeur ; Négociation ; Origination,Écarts entre les cours acheteur et vendeur ; Commissions ; Négociation,A,
Q26-16,Chapitre 26,Lequel des énoncés suivants n'est pas vrai en ce qui concerne les accords de paiement indirect (soft dollar) ?,Il s'agit d'accords en vertu desquels un client institutionnel achète des services au moyen de commissions plutôt que d'une facture pour les biens ou les services.,Les accords de paiement indirect ne peuvent être utilisés que pour l'exécution d'ordres et les services de recherche.,Le client institutionnel doit veiller à ce que tous les accords de paiement indirect soient avantageux pour lui et à ce qu'ils lui soient communiqués.,Les commissions en nature sont plus fréquentes dans les opérations sur titres à revenu fixe que dans les opérations sur actions.,D,
Q26-17,Chapitre 26,Laquelle des parties suivantes n'est pas impliquée dans une transaction institutionnelle typique ?,Le courtier,Le dépositaire,Le teneur de marché,Le gestionnaire d'investissement,C,
Q26-18,Chapitre 26,"Parmi les éléments suivants, lequel est le moins susceptible de constituer un problème pour le traitement des transactions institutionnelles ?",Le calendrier des activités,Technologies inadéquates,Le traitement de bout en bout,L'intégrité des données et les problèmes de comptabilité,C,
Q26-19,Chapitre 26,Quel est le poste de débutant pour d'autres emplois sur les marchés des actions et des titres à revenu fixe ?,Analyste de recherche,Associé de recherche,Associé en investissement,Gestionnaire de relations,B,
Q26-20,Chapitre 26,Donner accès à des services de recherche et de banque d'investissement de qualité est l'une des principales responsabilités du...,dépositaire.,banquier d'affaires,vendeur institutionnel,banquier d'affaires institutionnel,C,
Q26-21,Chapitre 26,Lequel des énoncés suivants est correct ? i) Les négociateurs d'agence sont également appelés négociateurs de couverture ii) Les négociateurs en responsabilité sont également appelés négociateurs pour compte propre.,i) uniquement,ii) uniquement,i) et ii) à la fois,Ni i) ni ii),C,
Q26-22,Chapitre 26,"Les stratégies de trading de responsabilité comprennent toutes les stratégies suivantes, à l'exception de...",directionnelles.,axées sur les événements.,valeur relative.,valeur absolue.,D,
Q26-23,Chapitre 26,Le rôle et la responsabilité principaux des teneurs de marché d'actions sont de...,de réaliser des transactions rentables pour l'entreprise.,d'assurer un marché constant et bilatéral.,de veiller à ce que les transactions pour leur propre compte soient raisonnables.,d'aider les autres à exécuter leurs ordres en ce qui concerne leur stock de responsabilité (SOR).,B,
Q26-24,Chapitre 26,Les négociateurs en responsabilité se voient généralement attribuer...,des clients spécifiques.,des marchés spécifiques.,des secteurs spécifiques du marché.,un capital proactif plutôt que réactif.,C,
Q26-25,Chapitre 26,"Parmi les parties suivantes, laquelle est la plus susceptible d'utiliser le trading algorithmique ?",Les investisseurs de détail du côté des vendeurs.,Les investisseurs de détail côté achat.,Les investisseurs institutionnels côté vente.,Les investisseurs institutionnels acheteurs.,D,
