ActivityType,Module,Instructions,Question,CorrectAnswer1,CorrectAnswer2,CorrectAnswer3
SHORT_ANSWER,Module 1,,Comment appelle-t-on une institution qui emprunte des fonds à des fournisseurs de capitaux et les prête aux utilisateurs de capitaux? ,Un intermédiaire financier ,intermédiaire financier ,
SHORT_ANSWER,Module 1,,Dans quel marché les courtiers prennent ferme et placent des nouvelles émissions de valeurs mobilières?,Le marché primaire,marché primaire,
SHORT_ANSWER,Module 1,,Quel est le rôle d’un courtier lorsqu’il agit pour le compte d’un client sans jamais devenir propriétaire des titres? ,Mandataire ,,
SHORT_ANSWER,Module 1,,Comment s’appelle la différence entre le cours acheteur et le cours vendeur qui représente le profit brut d’un contrepartiste? ,spread ,écart ,
SHORT_ANSWER,Module 1,,Quel organisme assure la compensation et le règlement des opérations sur titres au Canada? ,CDS,Services de dépôt et de compensation ,
SHORT_ANSWER,Module 1,,Quel type de firme de courtage sert exclusivement des clients institutionnels comme les caisses de retraite ou les fonds communs de placement?,Une firme spécialisée dans les services aux institutions, firme spécialisée dans les services aux institutions,
SHORT_ANSWER,Module 1,,Comment s’appelle la barrière réglementaire qui empêche le partage d’information entre les différentes unités opérationnelles d’un groupe bancaire?,cloisonnement,,
SHORT_ANSWER,Module 1,,Quel terme décrit le processus d’échange irrévocable d’espèces contre des titres?,Le règlement ,règlement ,
SHORT_ANSWER,Module 1,,Quel type d’entreprise vend des parts au public et investit le produit dans un portefeuille diversifié de titres?,Un fonds d’investissement,,
SHORT_ANSWER,Module 1,,Quel actif numérique repose sur une chaîne de blocs et n’existe que sous forme numérique?,bitcoin,cryptoactif,
SHORT_ANSWER,Module 2,,Quelle est la seule source de capital ?,L’épargne ,épargne,
SHORT_ANSWER,Module 2,,Quel type de placement consiste à employer son épargne pour acheter une maison ou financer directement un projet ?,Le placement direct ,placement direct,
SHORT_ANSWER,Module 2,,Quels sont les trois caractéristiques essentielles des capitaux ? ,"Mobiles, sensibles à la conjoncture, et rares ","Mobiles, sensibles, rares ","Mobile, sensible à la conjoncture, rare "
SHORT_ANSWER,Module 2,,Quel type d’investisseur regroupe les caisses de retraite et organismes de placement collectif ? ,Les investisseurs institutionnels ,Investisseurs institutionnels ,
SHORT_ANSWER,Module 2,,Sur quel marché les entreprises et gouvernements vendent-ils des titres nouvellement émis (PAPE) ? ,Le marché primaire ,Marché primaire ,
SHORT_ANSWER,Module 2,,Quel terme désigne le prix le plus élevé auquel quelqu’un est prêt à acheter un titre ? ,Le cours acheteur ,Cours acheteur,
SHORT_ANSWER,Module 2,,Quel marché regroupe les réseaux de banques et de courtiers qui négocient de gré à gré sans marché centralisé ? ,Marché entre courtiers ,Marché hors cote,
SHORT_ANSWER,Module 2,,Quel type d’instrument financier représente un prêt de l’investisseur à l’émetteur ? ,Un titre à revenu fixe ,Titre à revenu fixe,
SHORT_ANSWER,Module 2,,Comment appelle-t-on un marché où les ordres d’achat et vente entrent en concurrence dans un lieu centralisé ? ,Un marché aux enchères ,Marché aux enchères ,
SHORT_ANSWER,Module 2,,Quel système affiche en temps réel les cours acheteur et vendeur pour les obligations et bons du Trésor au Canada ? ,CanPX ,,
SHORT_ANSWER,Module 3,,Quel est l’objectif principal de la réglementation dans le secteur des valeurs mobilières au Canada ?,Protéger les investisseurs,,
SHORT_ANSWER,Module 3,,"Quel organisme réglemente le secteur financier au Québec, y compris les assurances et dépôts ? ",Autorité des marchés financiers,AMF,
SHORT_ANSWER,Module 3,,Comment s’appelle l’organisation qui regroupe et coordonne les organismes de réglementation provinciaux et territoriaux ? ,Autorités canadiennes en valeurs mobilières,ACVM,
SHORT_ANSWER,Module 3,,Quel est le rôle principal du Fonds canadien de protection des investisseurs (FCPI) ?,Protéger les épargnants en cas d’insolvabilité d’un courtier membre,,
SHORT_ANSWER,Module 3,,Jusqu’à quel montant un compte général (comptant + marge + autres comptes non enregistrés) est-il couvert par le FCPI ?,1 000 000 $,1000000,1 000 000
SHORT_ANSWER,Module 3,,Quel est le plafond d’assurance-dépôts offert par la SADC pour les dépôts admissibles dans une même institution membre ?,100 000 $,100 000,100000
SHORT_ANSWER,Module 3,,Quel système est utilisé pour soumettre électroniquement les formulaires d’inscription des professionnels du secteur ?,Base de données nationale d’inscription,BDNI,
SHORT_ANSWER,Module 3,,Comment appelle-t-on la règle imposant aux conseillers de bien comprendre les produits qu’ils recommandent ?,Bien connaître son produit,,
SHORT_ANSWER,Module 3,,Quel organisme indépendant enquête sur les plaintes entre clients et institutions financières lorsque la résolution interne échoue ?,Ombudsman des services bancaires et d’investissement,OSBI,
SHORT_ANSWER,Module 3,,Comment appelle-t-on la pratique contraire à la déontologie consistant à négocier pour son propre compte avant d’exécuter l’ordre d’un client ?,Opération en avance sur le marché,,
SHORT_ANSWER,Module 4,,Quelle est la définition de l’économique ?,"Science sociale qui étudie la production, la distribution et la consommation de biens et services.",,
SHORT_ANSWER,Module 4,,"Dans une économie de marché, quelles forces déterminent le prix des biens et services ?",L’offre et la demande.,,
SHORT_ANSWER,Module 4,,Qu’est-ce que le prix d’équilibre ?,Le prix auquel la quantité demandée et la quantité offerte sont égales.,,
SHORT_ANSWER,Module 4,,Comment définit-on le produit intérieur brut (PIB) ?,La valeur marchande de l’ensemble des produits finaux et services produits dans un pays pendant une période donnée.,,
SHORT_ANSWER,Module 4,,Quelle est la principale différence entre le PIB nominal et le PIB réel ?,"Le PIB nominal inclut l’effet des variations de prix (inflation), le PIB réel exclut l’inflation.",,
SHORT_ANSWER,Module 4,,Quels sont les trois grands groupes de décideurs dans l’économie ?,"Les consommateurs, les entreprises et les gouvernements.",,
SHORT_ANSWER,Module 4,,Que représente le taux d’activité dans le marché du travail ?,La population active exprimée en pourcentage de la population en âge de travailler.,,
SHORT_ANSWER,Module 4,,Quels sont les quatre types de chômage décrits dans le chapitre ?,"Chômage conjoncturel, saisonnier, frictionnel, structurel.",,
SHORT_ANSWER,Module 4,,Que mesure l’Indice des prix à la consommation (IPC) ?,Il mesure la variation du prix moyen d’un panier de biens et services représentatif.,,
SHORT_ANSWER,Module 4,,Qu’est-ce que la balance des paiements d’un pays ?,Un état détaillé des opérations commerciales d’un pays avec le reste du monde.,,
SHORT_ANSWER,Module 5,,Quel est l’objectif principal partagé par le gouvernement du Canada et la Banque du Canada dans leurs interventions économiques ?,Créer des conditions favorables à une croissance durable à long terme.,,
SHORT_ANSWER,Module 5,,Quelle est la responsabilité principale de la politique budgétaire ?,Équilibrer les impôts et les dépenses pour influencer l’activité économique.,,
SHORT_ANSWER,Module 5,,Comment appelle-t-on la situation où les recettes du gouvernement dépassent ses dépenses ?,Un excédent budgétaire.,,
SHORT_ANSWER,Module 5,,Qu’est-ce que la dette nationale représente dans le budget fédéral ?,La somme des déficits antérieurs moins la somme des excédents antérieurs.,,
SHORT_ANSWER,Module 5,,Quel est l’effet économique appelé « éviction » lorsqu’un gouvernement emprunte massivement ?,"La réduction des capitaux disponibles pour les entreprises, ce qui fait augmenter les taux d’intérêt.",,
SHORT_ANSWER,Module 5,,Quel est le rôle principal de la Banque du Canada selon le texte ?,Favoriser le bien-être économique et financier du Canada.,,
SHORT_ANSWER,Module 5,,Quel est l’objectif de la politique monétaire en matière d’inflation ?,"Maintenir l’inflation entre 1 % et 3 %, stable, basse et prévisible.",,
SHORT_ANSWER,Module 5,,Comment s’appelle la fourchette de 50 points de base dans laquelle se situe le taux de financement à un jour ?,La fourchette opérationnelle.,,
SHORT_ANSWER,Module 5,,Comment s’appelle l’opération utilisée par la Banque du Canada pour réduire les taux d’intérêt lorsqu’ils dépassent la cible ?,Une prise en pension à un jour.,,
SHORT_ANSWER,Module 5,,Quel est le principal défi lié aux délais (retards) dans la mise en œuvre des politiques budgétaire et monétaire ?,"Le délai entre l’intervention et ses effets, qui peut réduire l’efficacité des politiques.",,
SHORT_ANSWER,Module 6,,Comment appelle-t-on un titre à revenu fixe garanti par des actifs matériels ?,Obligation,Obligation garantie par des actifs matériels,Obligation garantie
SHORT_ANSWER,Module 6,,Comment appelle-t-on un titre à revenu fixe garanti uniquement par la solvabilité générale de l’émetteur ?,Débenture,Obligation non garantie,
SHORT_ANSWER,Module 6,,Quel document juridique énonce les modalités d’une émission d’obligations ?,Acte de fiducie,"Contrat obligataire (acceptable, mais moins exact)",
SHORT_ANSWER,Module 6,,Comment s’appelle le montant que l’émetteur rembourse au porteur à l’échéance ?,Valeur nominale,Valeur au pair,Capital
SHORT_ANSWER,Module 6,,Quel est le terme désignant le revenu d’intérêt exprimé en pourcentage de la valeur nominale ?,Taux d’intérêt nominal,Taux nominal,Taux du coupon
SHORT_ANSWER,Module 6,,Comment appelle-t-on une obligation vendue à un prix inférieur à sa valeur nominale ?,Obligation à escompte,Au-dessous du pair,
SHORT_ANSWER,Module 6,,Comment appelle-t-on le temps qui reste avant la date d’échéance ?,Temps à courir jusqu’à l’échéance,Durée restante (acceptable),
SHORT_ANSWER,Module 6,,Comment appelle-t-on une obligation qui peut être remboursée avant l’échéance par l’émetteur ?,Obligation rachetable,Obligation remboursable par anticipation,
SHORT_ANSWER,Module 6,,Quel type d’obligation est créé lorsqu’un courtier sépare les coupons d’intérêt d’une obligation originale ?,Obligation à coupons détachés,Obligation coupon zéro,
SHORT_ANSWER,Module 6,,Comment appelle-t-on une obligation qui peut être convertie en actions ordinaires ?,Obligation convertible,Débenture convertible,
SHORT_ANSWER,Module 7,,Quelle méthode permet d’établir le juste prix d’une obligation ?,La valeur actualisée,Le calcul de la valeur actualisée des flux futurs,Actualisation des flux de trésorerie
SHORT_ANSWER,Module 7,,Comment appelle-t-on le taux utilisé pour actualiser les flux futurs d’une obligation ?,Taux d’actualisation,Taux d’intérêt actuel du marché,Rendement exigé
SHORT_ANSWER,Module 7,,Quel terme décrit le revenu d’intérêt divisé par le cours actuel d’une obligation ?,Rendement courant,Current yield,
SHORT_ANSWER,Module 7,,Comment appelle-t-on la mesure qui indique le rendement total anticipé d’une obligation conservée jusqu’à son échéance ?,Rendement à l’échéance,Yield to maturity,Taux de rendement total anticipé
SHORT_ANSWER,Module 7,,Quel risque correspond au fait que les taux futurs pourraient être plus bas au moment de réinvestir les coupons ?,Risque lié au réinvestissement,Risque de réinvestissement,
SHORT_ANSWER,Module 7,,Quelle théorie explique la forme de la courbe des rendements en supposant que les taux futurs à court terme sont anticipés par les taux longs ?,Théorie des anticipations,Expectation theory,
SHORT_ANSWER,Module 7,,Quel terme désigne la mesure de la sensibilité du prix d’une obligation à une variation de 1 % des taux ?,Duration,Durée modifiée (partiellement acceptable),
SHORT_ANSWER,Module 7,,Comment appelle-t-on le taux obtenu après ajustement du rendement nominal pour l’inflation ?,Taux de rendement réel,Rendement réel,
SHORT_ANSWER,Module 7,,Comment nomme-t-on un document qui confirme électroniquement les détails d’une opération obligataire ?,Fiche d’ordre,Order ticket,
SHORT_ANSWER,Module 7,,Quel type d’obligation représente un certificat physique avec coupons détachables que l’investisseur présente pour encaisser les intérêts ?,Obligation au porteur,Bond au porteur,
SHORT_ANSWER,Module 8,,Quel est le principal attrait des actions ordinaires pour la plupart des investisseurs ?,La plus-value du capital,Le potentiel d’appréciation du capital,La hausse de la valeur des actions
SHORT_ANSWER,Module 8,,Qui décide du versement des dividendes sur les actions ordinaires ?,Le conseil d’administration,Le CA,Les administrateurs de l’entreprise
SHORT_ANSWER,Module 8,,Qu’est-ce qu’une action se négociant ex-dividende signifie pour l’acheteur ?,L’acheteur ne reçoit pas le dividende déclaré,Le dividende revient au vendeur,L’acheteur n’est pas admissible au dividende
SHORT_ANSWER,Module 8,,Quel est l’effet principal d’une division d’actions (fractionnement) sur le cours de l’action ?,Le cours baisse proportionnellement,Le cours unitaire diminue,La valeur totale du placement reste inchangée
SHORT_ANSWER,Module 8,,Que signifie le droit de vote attaché aux actions ordinaires ?,Le droit d’élire les administrateurs,Le droit de voter sur les affaires importantes,Le droit de voter en assemblée
SHORT_ANSWER,Module 8,,Quel est le principal avantage d’un plan de réinvestissement des dividendes ?,Acheter automatiquement des actions supplémentaires,Réinvestir les dividendes sans intervention,Accroître la position progressivement
SHORT_ANSWER,Module 8,,Quel est le principal risque d’un dividende non cumulatif sur une action privilégiée ?,Les dividendes omis ne peuvent pas être récupérés,Un dividende manqué est perdu,Le dividende ne s’accumule pas
SHORT_ANSWER,Module 8,,Quel facteur rend les actions privilégiées sensibles aux variations des taux d’intérêt ?,Leur dividende fixe,Le caractère « revenu fixe » des dividendes,Le fait que leur rendement soit comparable à une obligation
SHORT_ANSWER,Module 8,,Quel est l’avantage fiscal clé des actions privilégiées canadiennes ?,Le crédit d’impôt pour dividendes,Un traitement fiscal favorable aux dividendes,Rendement après impôt plus élevé
SHORT_ANSWER,Module 8,,Quel est le rôle d’un indice boursier comme le S&P/TSX ?,Mesurer le rendement du marché,Servir de référence (benchmark),Suivre l’évolution des actions composant l’indice
SHORT_ANSWER,Module 9,,Quelle est la différence fondamentale entre un compte au comptant et un compte sur marge ?,Un compte au comptant doit être réglé intégralement à la date de règlement; un compte sur marge permet d’emprunter auprès du courtier.,,
SHORT_ANSWER,Module 9,,Qu’est-ce qu’une position en compte ?,La propriété réelle d’un titre.,,
SHORT_ANSWER,Module 9,,Qu’est-ce qu’une position à découvert ?,La vente d’un titre que l’investisseur ne possède pas.,,
SHORT_ANSWER,Module 9,,Que signifie « marge » dans un compte sur marge ?,Montant que l’épargnant doit fournir pour compléter l’achat.,,
SHORT_ANSWER,Module 9,,Qu’est-ce qu’un appel de marge ?,Une demande de dépôt de fonds lorsque la marge requise dépasse la marge déposée.,,
SHORT_ANSWER,Module 9,,Quel est le risque principal d’une vente à découvert ?,Un risque de perte illimitée si le cours monte.,,
SHORT_ANSWER,Module 9,,Quel document doit être signé avant d’utiliser un compte sur marge ?,Une convention de compte sur marge approuvée.,,
SHORT_ANSWER,Module 9,,Que représente l’écart acheteur-vendeur (spread) ?,La différence entre le cours vendeur et le cours acheteur.,,
SHORT_ANSWER,Module 9,,Quel type d’ordre garantit l’exécution mais pas le prix ?,Un ordre au marché (ou ordre au mieux).,,
SHORT_ANSWER,Module 9,,Quelle est la priorité d’exécution entre un ordre client et un ordre PRO ?,L’ordre client a priorité s’il est au même cours.,,
SHORT_ANSWER,Module 10,,Qu’est-ce qu’un produit dérivé ?,contrat financier dont la valeur provient d’un sous-jacent,contrat basé sur un actif sous-jacent,instrument dont la valeur dépend d’un sous-jacent
SHORT_ANSWER,Module 10,,Nomme deux grandes catégories de dérivés.,options et produits dérivés à terme,options et contrats à terme,
SHORT_ANSWER,Module 10,,Quel est le rôle principal d’une option d’achat ?,droit d’acheter le sous-jacent à un prix fixé,droit d’acheter à un prix de levée,
SHORT_ANSWER,Module 10,,Quel type d’option donne le droit de vendre le sous-jacent ?,option de vente,put,
SHORT_ANSWER,Module 10,,Comment appelle-t-on le prix auquel le sous-jacent peut être acheté ou vendu ?,prix de levée,prix d’exercice,
SHORT_ANSWER,Module 10,,Qu’est-ce qu’une option “en jeu” (in the money) ?,option dont la levée est avantageuse,option dont le cours rend l’exercice profitable,
SHORT_ANSWER,Module 10,,Quel type d’option peut être levé à tout moment jusqu’à l’échéance ?,option de type américain,américaine,
SHORT_ANSWER,Module 10,,Comment s’appelle la partie du prix d’une option liée à l’incertitude future ?,valeur-temps,time value,
SHORT_ANSWER,Module 10,,Qu’est-ce qu’un contrat à terme (futures) ?,contrat obligeant les deux parties à transiger à un prix fixé,engagement ferme d’acheter ou vendre plus tard à prix déterminé,
SHORT_ANSWER,Module 10,,Comment appelle-t-on l’ajustement quotidien des comptes dans les contrats à terme ?,évaluation au cours du marché,mark-to-market,
SHORT_ANSWER,Module 11,,Quelles sont les trois formes d’entreprises décrites dans le chapitre ?,"L’entreprise individuelle, la société de personnes et la société par actions.",,
SHORT_ANSWER,Module 11,,Quel est l’avantage principal d’une société par actions concernant la responsabilité des actionnaires ?,Les actionnaires ont une responsabilité limitée : ils ne risquent que la somme investie dans les actions.,,
SHORT_ANSWER,Module 11,,Quel document explique les règles internes de fonctionnement d’une société par actions ?,Les règlements administratifs.,,
SHORT_ANSWER,Module 11,,Quel droit important confèrent les actions ordinaires aux actionnaires lors des assemblées ?,Le droit de vote.,,
SHORT_ANSWER,Module 11,,Que représente le capital-actions dans l’état de la situation financière ?,L’argent reçu par l’entreprise lors de l’émission des actions.,,
SHORT_ANSWER,Module 11,,Comment est déterminée la valeur des stocks selon la méthode PEPS (FIFO) ?,"Selon le coût des premiers articles entrés en stock, qui sont considérés comme vendus en premier.",,
SHORT_ANSWER,Module 11,,Quel état financier montre la rentabilité d’une entreprise sur un exercice ?,L’état du résultat global.,,
SHORT_ANSWER,Module 11,,Quelle section du rapport annuel fournit des renseignements détaillés qui ne figurent pas directement dans les états financiers ?,Les notes afférentes aux états financiers.,,
SHORT_ANSWER,Module 11,,Quel concept comptable décrit la portion du coût des immobilisations corporelles répartie sur leur durée de vie utile ?,La dépréciation (ou amortissement selon le type d’actif).,,
SHORT_ANSWER,Module 11,,Quel est le seuil de participation qui déclenche l’obligation d’un communiqué de presse selon le système d’alerte ?,Lorsqu’une personne ou entreprise atteint ou dépasse 10 % d’une catégorie de titres avec droit de vote.,,
SHORT_ANSWER,Module 12,,Quelle est la méthode principale utilisée par le gouvernement du Canada pour émettre de nouvelles obligations et bons du Trésor ?,Adjudication,Soumissions concurrentielles,
SHORT_ANSWER,Module 12,,Quel est le nom de l’équipe d’un courtier responsable de la vente de titres d’emprunt gouvernementaux ?,Financement d’États,Gouvernement financing desk,
SHORT_ANSWER,Module 12,,Comment appelle-t-on le document rédigé par un courtier lorsqu’il analyse en profondeur une entreprise avant une émission ?,Rapport de contrôle préalable,Due diligence report,
SHORT_ANSWER,Module 12,,Comment s’appelle la première émission publique d’actions d’une société ?,PAPE,Premier appel public à l’épargne,Initial public offering (IPO)
SHORT_ANSWER,Module 12,,"Quel document doit être déposé pour solliciter le public dans une nouvelle émission, à moins d’une dispense ?",Prospectus,,
SHORT_ANSWER,Module 12,,Comment appelle-t-on les actions que la société a émises et qui sont actuellement détenues par les actionnaires ?,Actions en circulation,,
SHORT_ANSWER,Module 12,,Comment nomme-t-on le groupe de courtiers formé pour prendre ferme une émission d’obligations ?,Syndicat de prise ferme,Underwriting syndicate,
SHORT_ANSWER,Module 12,,Quel terme désigne la part des actions en circulation qu’un investisseur individuel peut acheter librement sur le marché ?,Flottant,Free float,
SHORT_ANSWER,Module 12,,Comment appelle-t-on l’exercice qui consiste à soutenir le prix d’une nouvelle émission lors de ses premiers jours de négociation ?,tabilisation de l’après-marché,,
SHORT_ANSWER,Module 12,,Quel marché accueille les entreprises trop petites ou inactives pour respecter les normes d’inscription de la Bourse de croissance TSX ?,NEX,,
